PlayerID,PlayerName,MilesFlown,TimeZones,ScheduleContext,RestDeficit,RecentWorkload,CumFat_IR,CumFat_PD,AgeAdjRest,USG_Pct,UsageScaledPenalty,B2B_x_USG
1626157,Karl-Anthony Towns,1411.8,2.5,1 B2Bs,1,33.3,41.0,-4.1000000000000005,1.0,0.2,-1.5,0.2
1626162,Kelly Oubre Jr.,913.4,0.0,1 B2Bs,1,29.3,34.6,-3.4600000000000004,1.0,0.2,-1.5,0.2
1626164,Devin Booker,2146.3,3.0,2 B2Bs,2,34.3,59.8,-5.98,2.0,0.2,-1.5,0.4
1626166,Cameron Payne,1800.1,0.0,1 B2Bs,1,24.0,39.9,-3.99,1.0,0.2,-1.5,0.2
1626167,Myles Turner,1876.2,1.5,1 B2Bs,1,26.0,41.6,-4.16,1.0,0.2,-1.5,0.2
1626171,Bobby Portis,1876.2,1.5,1 B2Bs,1,27.0,42.1,-4.21,1.0,0.2,-1.5,0.2
1626181,Norman Powell,0.0,0.0,0 B2Bs,0,31.0,15.5,-1.55,0.0,0.2,-1.5,0.0
1626192,Pat Connaughton,1490.3,1.0,1 B2Bs,1,5.0,27.6,-2.7600000000000002,1.0,0.2,-1.5,0.2
1626204,Larry Nance Jr.,1024.9,1.0,0 B2Bs,0,5.5,12.0,-1.2000000000000002,0.0,0.2,-1.5,0.0
1626220,Royce O'Neale,2146.3,3.0,2 B2Bs,2,29.3,57.3,-5.73,2.0,0.2,-1.5,0.4
1627739,Kris Dunn,2230.0,2.0,2 B2Bs,2,27.0,56.9,-5.69,2.0,0.2,-1.5,0.4
1627742,Brandon Ingram,3424.4,4.0,1 B2Bs,1,37.7,61.3,-6.13,1.0,0.2,-1.5,0.2
1627747,Caris LeVert,1236.2,1.5,0 B2Bs,0,19.7,21.0,-2.1,0.0,0.2,-1.5,0.0
1627749,Dejounte Murray,1629.2,1.5,0 B2Bs,0,28.7,29.0,-2.9000000000000004,0.0,0.2,-1.5,0.0
1627750,Jamal Murray,3021.5,6.0,2 B2Bs,2,35.7,68.4,-6.840000000000001,2.0,0.2,-1.5,0.4
1627751,Jakob Poeltl,2920.5,4.0,0 B2Bs,0,27.0,39.8,-3.98,0.0,0.2,-1.5,0.0
1627752,Taurean Prince,1876.2,1.5,0 B2Bs,0,15.0,24.4,-2.44,0.0,0.2,-1.5,0.0
1627759,Jaylen Brown,3716.8,2.5,0 B2Bs,0,29.0,48.0,-4.800000000000001,0.0,0.2,-1.5,0.0
1627780,Gary Payton II,1459.8,2.0,1 B2Bs,1,22.0,35.8,-3.58,1.0,0.2,-1.5,0.2
1627783,Pascal Siakam,827.1,0.0,0 B2Bs,0,30.5,22.7,-2.27,0.0,0.2,-1.5,0.0
1627824,Guerschon Yabusele,1054.2,1.0,0 B2Bs,0,21.7,20.3,-2.0300000000000002,0.0,0.2,-1.5,0.0
1627826,Ivica Zubac,0.0,0.0,1 B2Bs,1,22.5,22.9,-2.29,1.0,0.2,-1.5,0.2
1627827,Dorian Finney-Smith,372.2,0.0,0 B2Bs,0,23.0,14.9,-1.4900000000000002,0.0,0.2,-1.5,0.0
1627884,Derrick Jones Jr.,2230.0,2.0,2 B2Bs,2,31.7,59.2,-5.920000000000001,2.0,0.2,-1.5,0.4
1627936,Alex Caruso,0.0,0.0,0 B2Bs,0,22.5,11.2,-1.1199999999999999,0.0,0.2,-1.5,0.0
1628368,De'Aaron Fox,0.0,0.0,1 B2Bs,1,35.3,29.3,-2.93,1.0,0.2,-1.5,0.2
1628369,Jayson Tatum,3565.8,2.5,0 B2Bs,0,28.7,46.4,-4.64,0.0,0.2,-1.5,0.0
1628370,Malik Monk,0.0,0.0,0 B2Bs,0,24.0,12.0,-1.2000000000000002,0.0,0.2,-1.5,0.0
1628371,Jonathan Isaac,0.0,0.0,0 B2Bs,0,1.0,0.5,-0.05,0.0,0.2,-1.5,0.0
